A.I.                                      	A.I.
A2A integration                           	A2A集成
ADL                                       	ADL
ADO                                       	ADO
API                                       	API
ASP                                       	ASP
ASP.NET worker process                    	ASP.NET工作进程
AST                                       	AST
B2B integration                           	B2B集成
BCL                                       	BCL
CIL                                       	CIR
CLI                                       	CLI
CLS                                       	CLS
COFF                                      	COFF
COM                                       	COM
CORBA                                     	CORBA
CRTP                                      	CRTP
CTS                                       	CTS
DBMS                                      	DBMS
DCOM                                      	DCOM
DHTML                                     	DHTML
DI                                        	DI
DIME                                      	DIME
DISCO                                     	DISCO
DISPID                                    	DISPID
DNA                                       	DNA
DOM                                       	DOM
DSL                                       	DSL
DTD                                       	DTD
EAI                                       	EAI
EBCO                                      	EBCO
ECMAScript                                	ECMAScript
EDI                                       	EDI
GAC                                       	GAC
GC                                        	GC
GUI                                       	GUI
GUID                                      	GUID
HTML                                      	HTML
HTTP                                      	HTTP
HTTP pipeline                             	HTTP管道
IDE                                       	IDE
IDL                                       	IDL
IL                                        	IL
IME                                       	IME
JIT                                       	即时
JIT compilation                           	JIT编译
ODBC data source                          	ODBC数据源
ODBC driver                               	ODBC驱动程序
ODR                                       	ODR
OLE DB consumer                           	OLE DB使用者
OLE DB for OLAP                           	用于OLAP 的OLE DB
OLE DB provider                           	OLE DB提供者
OLE automation object                     	OLE自动化对象
OLE automation server                     	OLE自动化服务器
P invoke                                  	平台调用
PDA                                       	PDA
PE file                                   	PE文件
POD                                       	POD
POI                                       	POI
RPC                                       	RPC
SAX                                       	SAX
SDK                                       	SDK
SMTP                                      	SMTP
SOAP                                      	SOAP
SQL                                       	SQL
STL                                       	STL
TCP                                       	TCP
UDDI                                      	UDDI
UML                                       	UML
UNIQUE constraint                         	唯一性约束
URI                                       	URI
URL                                       	URL
UUID                                      	UUID
VEE                                       	VEE
WHERE clause                              	WHERE子句
WSDL                                      	WSDL
XML                                       	XML
XML message interface                     	XML 消息接口
XSD                                       	XSD
XSL                                       	XSL
XSLT                                      	XSLT
abstract                                  	抽象的
abstract baseclass                        	抽象基类
abstract class                            	抽象类
abstract syntax tree                      	抽象语法树
abstraction                               	抽象
access                                    	访问
access function                           	访问函数
access level                              	访问级别
accessibility                             	无障碍性
account                                   	账户
action                                    	动作
activate                                  	激活
active                                    	活动的
actual parameter                          	实参
adapter                                   	适配器
add-in                                    	插件
address                                   	地址
address space                             	地址空间
address-of operator                       	取地址操作符
advanced                                  	高级的
aggregation                               	聚合
ahead-of-time                             	预先
algorithm                                 	算法
alias                                     	别名
